epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,14456.6,0.82238,0.46732,1.71004,0.98401,0.94218,0.98874,0.85491,1.15156,0.46996,1.77272,0.0090298,0.0090298,0.0090298
100,14603.6,0.82231,0.46108,1.70883,0.97818,0.92474,0.96465,0.83809,1.15459,0.54568,1.76585,0.0090199,0.0090199,0.0090199
101,14749.7,0.8266,0.46432,1.71714,0.96293,0.97472,0.99105,0.86256,1.12105,0.45702,1.7649,0.00901,0.00901,0.00901
102,14897.9,0.8246,0.46377,1.70987,0.97418,0.95949,0.99121,0.85826,1.14363,0.47149,1.75524,0.0090001,0.0090001,0.0090001
103,15044.6,0.81804,0.45388,1.7069,0.97103,0.96687,0.99128,0.86159,1.13018,0.45321,1.74545,0.0089902,0.0089902,0.0089902
104,15192.3,0.82157,0.45861,1.70885,0.98381,0.95769,0.99321,0.86458,1.12828,0.47036,1.75516,0.0089803,0.0089803,0.0089803
105,15343.3,0.81125,0.45311,1.71842,0.95204,0.96204,0.98846,0.85278,1.14934,0.47836,1.7795,0.0089704,0.0089704,0.0089704
106,15495.5,0.8125,0.45477,1.70724,0.96817,0.94297,0.99081,0.85148,1.16586,0.48449,1.78616,0.0089605,0.0089605,0.0089605
107,15646.9,0.82374,0.4596,1.71948,0.97609,0.98352,0.99235,0.85844,1.14316,0.45353,1.76491,0.0089506,0.0089506,0.0089506
108,15798.4,0.81935,0.45925,1.71611,0.98704,0.92757,0.98609,0.86098,1.12988,0.48614,1.75333,0.0089407,0.0089407,0.0089407
109,15950.6,0.79799,0.44914,1.7044,0.96393,0.94534,0.98554,0.85954,1.1207,0.48317,1.75287,0.0089308,0.0089308,0.0089308
110,16101.4,0.80418,0.45435,1.71012,0.97322,0.92563,0.9865,0.85784,1.14732,0.48912,1.76981,0.0089209,0.0089209,0.0089209
111,16253.4,0.81227,0.46937,1.71653,0.97822,0.94088,0.98948,0.85667,1.16431,0.49261,1.78421,0.008911,0.008911,0.008911
